0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,0,1,0,18,1,0,1,0,0,1,4,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,1,1,1,1,0,4,3,4,2,2,4,8
1,0,0,1,16,0,1,1,0,0,1,4,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14
1,0,1,0,19,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,4,0,0,1,1,1,1,1,1,0,4,3,3,1,2,3,10
0,1,0,1,19,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,1,0,1,0,0,1,1,1,0,4,4,4,3,3,5,4
1,0,0,1,16,1,0,1,0,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8
1,0,0,1,17,1,0,1,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,2,0,0,1,1,1,1,1,1,0,4,5,2,1,1,1,4
0,1,0,1,18,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,1,3,3,2,1,2,3,4
1,0,0,1,18,0,1,1,0,0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,1,0,1,0,5,5,4,3,5,2,0
1,0,0,1,15,0,1,1,0,0,1,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6
1,0,0,1,15,0,1,0,1,1,0,4,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6
1,0,0,1,16,0,1,0,1,0,1,4,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4
1,0,0,1,17,1,0,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0
1,0,1,0,17,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0
1,0,0,1,16,0,1,1,0,0,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,0,0,1,1,1,1,1,5,3,3,1,3,2,10
1,0,1,0,16,0,1,1,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6
1,0,1,0,16,1,0,1,0,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0
1,0,0,1,15,1,0,1,0,0,1,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2
1,0,1,0,17,0,1,1,0,1,0,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,1,0,0,1,1,1,1,3,3,1,1,2,4,0
1,0,1,0,15,1,0,1,0,0,1,2,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2
1,0,0,1,18,0,1,1,0,0,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,3,2
1,0,1,0,16,0,1,0,1,0,1,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0
1,0,0,1,17,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,1,1,0,4,3,3,1,2,4,2
1,0,1,0,16,0,1,1,0,0,1,2,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2
1,0,0,1,19,0,1,0,1,1,0,4,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,12
1,0,1,0,15,0,1,1,0,0,1,3,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0
1,0,0,1,15,0,1,0,1,1,0,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0
0,1,0,1,19,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3,2,3,3,3,5,5
1,0,0,1,18,1,0,0,1,1,0,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,1,1,1,1,1,0,4,2,5,3,4,1,13
1,0,0,1,15,0,1,1,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4
1,0,0,1,17,0,1,0,1,1,0,3,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,4,4,4,3,4,3,19
1,0,1,0,15,0,1,1,0,0,1,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4
1,0,0,1,17,0,1,1,0,0,1,4,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4
1,0,1,0,18,0,1,0,1,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,1,1,1,4,3,3,1,1,2,0
1,0,1,0,16,1,0,1,0,0,1,4,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6
0,1,1,0,19,0,1,0,1,0,1,3,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,2,0,0,0,1,1,1,0,1,3,2,2,1,1,3,4
1,0,1,0,17,0,1,1,0,0,1,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0
1,0,0,1,18,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0
1,0,0,1,18,0,1,1,0,0,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,0,1,1,0,1,1,1,1,5,4,5,2,3,5,0
1,0,1,0,17,0,1,0,1,0,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4,0,0,0,1,1,1,1,1,1,3,4,1,1,1,2,0
0,1,0,1,18,0,1,0,1,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,3,0,0,0,1,0,1,1,1,1,4,2,2,2,2,5,0
1,0,1,0,18,1,0,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,0,1,0,1,1,4,3,5,1,2,3,0
0,1,1,0,18,0,1,0,1,0,1,3,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,3,4,1,1,1,0
1,0,0,1,18,1,0,0,1,0,1,3,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,1,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8
